Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Rating,Ratings Count,Genres,Has Score,Rating Category
PS3,Grand Theft Auto V,Rockstar Games,Rockstar North,0.0,20320000.0,6370000.0,9850000.0,990000.0,3120000.0,2013-09-17,4.47,7225.0,Action,1,Excelente
PS4,Grand Theft Auto V,Rockstar Games,Rockstar North,0.0,19390000.0,6060000.0,9710000.0,600000.0,3020000.0,2014-11-18,4.47,7225.0,Action,1,Excelente
PS4,Call of Duty: Black Ops 3,Activision,Treyarch,0.0,15090000.0,6180000.0,6050000.0,410000.0,2440000.0,2015-11-06,,,Unknown,0,Sem Avaliação
PS4,Red Dead Redemption 2,Rockstar Games,Rockstar Games,0.0,13940000.0,5260000.0,6210000.0,210000.0,2260000.0,2018-10-26,4.59,5357.0,Action,1,Excelente
PS3,Call of Duty: Black Ops II,Activision,Treyarch,0.0,13800000.0,4990000.0,5880000.0,650000.0,2280000.0,2012-11-13,3.96,1417.0,"Shooter, Action",1,Bom
PS4,Call of Duty: WWII,Activision,Sledgehammer Games,0.0,13400000.0,4670000.0,6210000.0,400000.0,2120000.0,2017-11-03,3.54,1171.0,"Shooter, Action",1,Bom
PS3,Call of Duty: Modern Warfare 3,Activision,Infinity Ward,0.0,13350000.0,5540000.0,5780000.0,490000.0,1540000.0,2011-11-08,3.78,1627.0,"Shooter, Action",1,Bom
PS3,Call of Duty: Black Ops,Activision,Treyarch,0.0,12670000.0,6010000.0,4400000.0,480000.0,1780000.0,2010-11-09,4.05,1846.0,"Shooter, Action",1,Excelente
PS4,FIFA 18,EA Sports,EA Vancouver,0.0,11800000.0,1270000.0,8640000.0,150000.0,1730000.0,2017-09-29,3.36,700.0,Sports,1,Bom
PS4,FIFA 17,Electronic Arts,EA Canada,0.0,10940000.0,1260000.0,7950000.0,120000.0,1610000.0,2016-09-27,3.31,588.0,Sports,1,Bom
PS3,Call of Duty: Modern Warfare 2,Activision,Infinity Ward,0.0,10610000.0,4990000.0,3660000.0,380000.0,1590000.0,2009-11-10,4.27,2049.0,Shooter,1,Excelente
PS3,Grand Theft Auto IV,Rockstar Games,Rockstar North,0.0,10570000.0,4790000.0,3730000.0,440000.0,1620000.0,2008-04-29,4.26,3068.0,Action,1,Excelente
PS4,Uncharted 4: A Thief's End,Sony Interactive Entertainment,Naughty Dog,18650000.0,10330000.0,4490000.0,3930000.0,210000.0,1700000.0,2016-05-10,,,Unknown,0,Sem Avaliação
PS3,Call of Duty: Ghosts,Activision,Infinity Ward,0.0,10130000.0,4110000.000000001,4010000.0,390000.0,1620000.0,2013-11-05,3.15,842.0,"Shooter, Action",1,Bom
PS4,Call of Duty: Black Ops IIII,Activision,Treyarch,0.0,9320000.0,4050000.0,3280000.0,500000.0,1490000.0,2018-10-12,,,Unknown,0,Sem Avaliação
PS4,FIFA 19,Electronic Arts,EA Sports,0.0,9150000.0,840000.0,6870000.0,100000.0,1340000.0,2018-09-28,3.31,650.0,"Simulation, Sports",1,Bom
PS4,Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games,22690000.0,8760000.0,3640000.0,3390000.0,320000.0,1410000.0,2018-09-07,4.45,3652.0,Action,1,Excelente
PS4,Call of Duty: Infinite Warfare,Activision,Infinity Ward,0.0,8480000.0,3110000.0,3830000.0,190000.0,1360000.0,2016-11-04,3.58,627.0,"Shooter, Action",1,Bom
PS4,Fallout 4,Bethesda Softworks,Bethesda Game Studios,0.0,8480000.0,2910000.0,3970000.0,270000.0,1340000.0,2015-11-10,3.81,3385.0,"Action, RPG",1,Bom
PS4,FIFA 16,EA Sports,EA Canada,0.0,8220000.000000001,1150000.0,5770000.0,70000.0,1230000.0,2015-09-22,,,Unknown,0,Sem Avaliação
PS4,Star Wars Battlefront (2015),Electronic Arts,EA DICE,0.0,8029999.999999999,3310000.0,3190000.0,230000.0,1300000.0,2015-11-17,,,Unknown,0,Sem Avaliação
PS3,FIFA 13,EA Sports,EA Canada,0.0,8010000.0,1070000.0,5130000.0,130000.0,1680000.0,2012-09-25,3.75,166.0,Sports,1,Bom
PS4,Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,0.0,7530000.0,2840000.0,3340000.0,140000.0,1220000.0,2014-11-04,3.47,862.0,"Shooter, Action",1,Bom
PS4,Battlefield 1,Electronic Arts,EA DICE,0.0,7260000.0,2200000.0,3650000.0,290000.0,1120000.0,2016-10-21,3.84,1960.0,"Shooter, Action",1,Bom
PS3,Battlefield 3,Electronic Arts,Dice,0.0,7210000.0,2860000.0,2940000.0,350000.0,1070000.0,2011-10-25,4.07,1356.0,"Shooter, Action",1,Excelente
PS4,The Last of Us Remastered,Sony Computer Entertainment,Naughty Dog,18630000.0,6770000.0,2700000.0,2860000.0,110000.0,1100000.0,2014-07-29,4.69,2842.0,"Adventure, Action",1,Excelente
PS3,Uncharted 2: Among Thieves,Sony Computer Entertainment,Naughty Dog,0.0,6740000.0,3280000.0,2220000.0,210000.0,1020000.0,2009-10-13,4.39,1775.0,"Shooter, Action",1,Excelente
PS3,Call of Duty 4: Modern Warfare,Activision,Infinity Ward,0.0,6720000.0,3130000.0,2270000.0,280000.0,1040000.0,2007-11-05,4.39,1813.0,"Shooter, Action",1,Excelente
PS3,FIFA Soccer 12,EA Sports,EA Canada,0.0,6650000.0,840000.0,4330000.0,110000.0,1370000.0,2011-09-27,,,Unknown,0,Sem Avaliação
PS3,FIFA 14,EA Sports,EA Canada,0.0,6610000.0,790000.0,4770000.0,70000.0,980000.0,2013-09-24,3.43,458.0,Sports,1,Bom
PS3,Red Dead Redemption,Rockstar Games,Rockstar San Diego,0.0,6570000.0,2820000.0,2580000.0,170000.0,1000000.0,2011-10-11,4.42,2158.0,"Shooter, Action",1,Excelente
PS3,Assassin's Creed III,Ubisoft,Ubisoft Montreal,0.0,6500000.0,2650000.0,2610000.0,160000.0,1080000.0,2012-10-30,,,Unknown,0,Sem Avaliação
PS3,The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,0.0,6490000.0,2570000.0,2680000.0,250000.0,990000.0,2011-11-11,4.42,4834.0,"Action, RPG",1,Excelente
PS4,Minecraft,Sony Computer Entertainment,Mojang,0.0,6330000.0,1890000.0,3130000.0,350000.0,960000.0,2014-10-07,4.43,3056.0,"Action, Arcade, Simulation, Indie, Massively Multiplayer",1,Excelente
PS4,FIFA 15,EA Sports,EA Canada,0.0,6320000.0,830000.0,4490000.0,50000.0,940000.0,2014-09-23,3.37,509.0,Sports,1,Bom
PS4,God of War (2018),Sony Interactive Entertainment,SIE Santa Monica Studio,21020000.0,6150000.0,2830000.0,2170000.0,130000.0,1020000.0,2018-04-20,4.55,5051.0,Action,1,Excelente
PS3,Minecraft,Sony Computer Entertainment America,Mojang,0.0,6050000.0,2210000.0,2860000.0,0.0,990000.0,2014-05-16,4.43,3056.0,"Action, Arcade, Simulation, Indie, Massively Multiplayer",1,Excelente
PS4,Horizon: Zero Dawn,Sony Interactive Entertainment,Guerrilla Games,19300000.0,5820000.0,2200000.0,2430000.0,280000.0,920000.0,2017-02-28,,,Unknown,0,Sem Avaliação
PS4,Destiny,Activision,Bungie,0.0,5760000.0,2530000.0,2130000.0,160000.0,940000.0,2014-09-09,3.69,1062.0,"Shooter, Action",1,Bom
PS4,Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,Bluepoint Games,9980000.0,5700000.0,2550000.0,2110000.0,100000.0,940000.0,2015-10-07,,,Unknown,0,Sem Avaliação
PS3,Assassin's Creed II,Ubisoft,Ubisoft Montreal,0.0,5570000.0,2540000.0,1950000.0,210000.0,860000.0,2009-11-17,4.42,2918.0,Action,1,Excelente
PS3,Batman: Arkham City,Warner Bros. Interactive,Rocksteady Studios,0.0,5540000.0,2720000.0,1890000.0,110000.0,820000.0,2011-10-18,4.41,2150.0,Action,1,Excelente
PS3,Call of Duty: World at War,Activision,Treyarch,0.0,5430000.0,2750000.0,1840000.0,0.0,840000.0,2008-11-10,3.95,1192.0,Shooter,1,Bom
PS4,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,12400000.0,5390000.0,1480000.0,2820000.0,280000.0,810000.0,2015-05-19,4.64,7037.0,"Action, RPG",1,Excelente
